WORD_ONE_ID,WORD_TWO_ID
2,6527
2,17842
4,10559
4,15358
4,16609
5,2053
5,18822
6,19823
6,20134
7,11515
8,2024
8,4320
8,6668
8,7565
10,5842
10,7874
10,7878
10,16359
10,17926
11,8486
12,5861
12,12126
14,17826
17,5320
18,4377
19,9313
19,12277
22,15669
22,21386
23,6487
23,9576
23,15798
24,8077
24,13848
25,18168
26,2332
27,10036
28,563
28,21087
31,9197
31,12399
31,16178
31,16852
31,21117
32,3120
32,9509
33,11172
34,686
34,1336
34,1719
34,5236
34,21808
35,2311
36,1128
37,5880
37,9885
37,15166
37,18809
38,6810
38,8146
38,12137
39,10495
39,19287
41,9669
42,12267
42,13689
42,15525
42,19667
44,16664
46,1120
47,1193
48,4901
48,7291
51,13355
53,9812
54,2993
54,15050
57,2811
57,8629
57,20064
59,2677
59,10922
59,20267
60,3171
60,19623
61,18029
62,5602
63,21089
64,9784
65,7730
66,1542
66,6501
66,11852
67,3632
67,14516
69,9588
70,3913
73,554
73,13769
73,15323
74,15037
74,16200
76,2341
76,9142
76,20876
77,11548
83,16781
83,16803
86,6153
86,15679
86,17034
86,21826
88,14782
89,5118
90,3674
90,13995
92,1309
95,13129
96,7429
96,15955
97,17357
97,20316
98,7316
98,7608
99,2587
99,10068
99,19362
100,301
100,6735
100,16774
105,21648
106,5718
106,18153
106,18608
109,18719
112,15614
112,18601
114,896
117,17958
118,2507
118,20930
119,3589
119,9875
120,21098
122,3074
122,16017
123,9353
124,8652
124,15128
127,9986
128,19066
130,7691
130,7696
131,8401
131,15799
133,8100
133,13114
133,14186
133,18898
135,6132
135,20124
135,21349
136,15882
136,19440
137,3568
137,21677
138,1336
138,11378
138,12751
138,19366
139,1288
139,6871
139,7502
139,11371
143,14348
144,3044
147,5716
147,6813
148,1005
149,1274
149,20797
151,12430
151,19394
152,4884
152,11645
153,2761
153,7252
154,426
154,4437
154,15937
155,2606
155,3148
155,8598
155,14371
155,20370
156,9724
156,18851
157,7021
158,1050
158,18405
159,5771
159,9433
159,18711
161,21073
162,2119
162,2566
162,6239
163,2925
165,16455
166,7492
166,13279
171,11384
171,13919
171,21781
172,3500
173,4676
173,6163
175,6614
175,21530
176,694
176,19458
177,15748
178,13446
179,6016
179,18300
180,1722
181,8597
181,13516
183,1751
184,14513
185,2099
185,7764
185,9040
188,368
188,3464
188,4310
189,2693
191,3970
192,3593
192,8641
195,1229
195,2561
198,16651
199,16857
201,15501
202,19964
203,891
203,1401
203,1689
203,5643
203,14071
203,16132
203,16397
204,6375
204,18044
204,18134
205,11054
205,11124
207,18700
207,19420
208,8579
208,21834
209,14642
210,2369
210,3819
210,11199
211,12285
211,16994
212,5588
214,2010
214,2636
214,2836
214,3632
214,6594
217,522
217,3985
217,5829
218,11870
219,3695
219,21915
221,5523
221,9390
223,10605
223,16112
223,19197
224,16535
224,21344
225,18679
235,7053
235,14876
236,14467
236,15620
237,11235
237,15936
237,18263
238,6344
238,11007
238,11747
239,16751
239,18226
241,1598
241,1925
241,9067
241,13647
242,10803
242,21204
243,13377
245,12498
248,16361
250,14694
250,21858
251,5910
251,12790
251,20447
252,18344
252,20002
253,19536
254,18555
257,16620
258,7531
259,18394
260,1091
260,19857
261,15495
261,19192
261,19890
264,352
264,13573
264,18187
264,18524
264,19027
265,2854
265,12617
266,15526
268,21300
269,18629
271,12635
271,17937
272,4977
272,12271
274,4702
274,5457
274,11069
276,10714
277,10626
277,16164
277,18400
278,9512
279,9663
280,7265
283,342
284,907
284,5722
284,21368
285,10465
285,21202
286,18178
287,3418
289,18192
290,13352
290,20812
292,391
292,1228
296,2812
298,10835
299,3596
299,6223
299,11845
299,15318
299,20281
300,8492
300,16640
301,930
302,3242
302,5264
302,6798
303,5068
304,7093
304,8925
305,3994
305,8682
305,13096
308,11561
309,4606
309,5958
309,9155
310,2022
311,5060
311,6864
311,8840
312,9342
312,15910
312,17393
313,6764
313,15475
313,17768
315,9970
316,496
316,12128
316,18320
317,7830
317,14392
317,21753
318,3060
318,17647
320,7028
321,1580
321,4570
321,17362
321,18198
322,918
322,3867
323,18641
325,5228
325,12228
325,20587
326,20405
326,21638
327,21805
328,9186
328,11283
328,12766
329,4136
330,4039
332,18173
333,1379
333,2514
333,13431
333,15058
333,16503
334,9610
336,21799
337,6733
340,18908
342,3242
344,7254
344,8106
345,11631
345,17897
345,20739
347,4791
348,669
348,13081
348,21289
351,9114
352,4775
352,6615
353,2879
353,4576
353,17410
353,18120
354,14168
356,11278
358,1261
358,9260
358,16527
358,17097
359,5397
359,10748
361,7290
361,15767
363,18629
364,9478
365,14861
366,13295
366,14553
367,11278
367,16101
368,14911
369,14713
369,20191
371,17447
374,6103
374,7640
374,18005
375,731
376,9791
376,14021
378,825
378,8274
378,19753
379,6633
379,9941
379,11163
379,15456
380,11384
380,19387
380,21781
381,6267
381,21815
383,11297
383,15179
383,15751
385,4495
385,21049
386,14261
387,1988
388,1213
388,16568
389,4504
389,8822
391,1228
392,17334
394,7368
394,15877
395,5353
395,15972
396,20553
397,6753
397,15977
397,16198
397,18823
398,9074
398,12710
398,15290
