WORD_ONE_ID,WORD_TWO_ID
0,22310
1,12486
1,26249
1,35222
1,36443
2,218
2,2478
2,2630
2,4222
2,13526
2,17223
4,3139
4,3980
4,33657
5,880
5,38114
6,8049
6,16184
6,19992
6,39033
7,1752
7,4141
7,24851
7,29402
8,5212
8,36915
9,8939
9,13347
10,27193
11,908
11,29159
12,21513
12,25141
13,8914
13,26530
13,26862
13,33723
13,35125
13,40285
14,154
14,20145
15,11505
15,31971
15,40593
16,12699
17,4951
18,2119
18,7821
18,11255
18,21208
18,30111
18,33112
19,10611
19,26758
21,4849
21,6004
21,15492
23,19209
23,28893
23,29427
24,1254
25,25614
25,28007
25,37367
26,7394
26,22886
26,33524
28,24116
28,27914
28,37578
28,40676
29,28699
29,40203
29,40562
30,27280
30,34794
30,40702
31,28678
31,29796
31,36646
32,13731
32,24679
32,29580
32,30530
32,33462
32,38154
33,7324
33,9676
33,15097
33,15710
34,3102
34,11127
34,28314
36,3315
36,5576
36,30314
37,2935
37,23049
37,35444
37,39356
38,2069
38,10783
39,2516
39,10206
39,10694
39,13262
39,15289
39,35847
39,40167
40,38305
41,4787
41,10349
41,15682
41,18021
41,28324
42,6148
42,7342
42,24559
42,33028
42,36742
43,35116
44,280
44,35382
45,12500
45,21188
46,4796
46,21618
47,3867
47,8424
47,10894
48,8424
48,14395
49,8225
51,1618
51,26855
51,39639
52,3085
52,5651
52,7514
52,33897
52,35115
53,14269
55,4624
55,29999
56,31767
57,28104
58,9562
59,2520
59,36586
60,6276
60,19356
61,25474
61,36051
62,18479
62,22850
62,29032
62,33457
63,8317
64,23571
64,37041
65,9663
65,40278
66,448
66,27875
66,29246
67,18081
67,29368
69,12081
70,5816
70,38497
71,2931
71,37841
72,5151
72,19818
72,27867
72,36867
73,10067
73,27772
74,2173
74,11588
75,1600
76,2098
76,12465
76,20938
76,27652
77,1543
77,4740
77,8397
77,8607
77,17652
77,23322
77,27326
77,30604
77,39707
79,19373
80,17009
81,4025
82,29028
82,34773
83,12159
83,25169
83,30265
84,5528
84,14046
84,23674
84,36044
84,36391
85,39666
87,1083
87,2296
87,6115
87,30171
87,34754
87,39465
88,9564
88,13976
88,21739
88,38813
89,22369
89,27692
89,31112
89,39748
91,30131
92,3330
92,7387
92,15450
92,21897
93,2737
93,10900
93,40037
95,5261
95,14586
97,3790
97,10513
97,19664
97,33626
97,38861
98,13647
98,29800
99,7341
99,10700
99,21724
102,39570
103,5030
103,18341
103,32462
104,6760
104,8840
104,11790
105,24993
106,1821
106,4212
106,8973
106,18369
106,23873
106,28736
106,36550
107,19700
107,29807
107,31457
107,31591
108,3225
109,10960
110,8760
111,5412
111,28676
112,4480
112,24497
114,22650
115,377
115,9060
115,17417
116,12163
116,37060
117,10637
117,18007
118,14102
118,18513
118,32172
119,13276
120,13294
120,30737
122,15202
122,24655
122,39088
123,28718
124,29643
126,20200
126,25755
126,30114
127,38379
128,7824
128,10280
128,15055
129,20576
129,26827
130,9629
130,12447
130,26340
130,34369
130,35349
130,37816
131,2869
131,10477
131,19735
131,23530
131,26047
132,17253
132,36959
133,13667
134,10692
134,24398
134,30080
134,39330
135,10192
135,14572
136,7485
136,36984
137,29288
137,31221
137,40108
138,8363
140,4671
140,7794
140,14196
142,27821
142,35791
145,3608
145,17541
145,22849
146,13752
146,29574
146,37212
147,3260
147,15140
148,13199
148,22699
148,31448
148,38894
149,6410
149,23345
149,35539
149,36505
150,1312
151,31329
151,33743
152,1847
152,17986
152,20859
152,29430
152,37699
153,3567
154,1064
154,15710
154,20145
155,15323
156,9678
156,19381
156,26982
157,1486
157,15882
157,18122
158,19026
160,24482
160,37732
161,1278
161,27784
161,28892
161,29213
162,9614
162,16434
163,3218
164,17652
164,20349
164,35088
164,35290
164,36349
165,349
165,16306
165,32455
167,233
167,23401
167,32553
168,3031
168,35197
170,20028
170,31337
173,19103
174,11491
174,14728
174,35438
178,7941
178,9193
181,6155
181,26082
182,27602
184,6212
184,12753
185,9818
185,24208
185,27044
185,36574
186,25241
186,27702
186,33074
186,35336
187,2581
187,13874
187,15367
187,16509
187,23440
187,27582
187,36322
189,21602
189,29690
189,32243
191,6712
191,9125
192,7536
192,7647
192,37399
193,35014
193,35448
193,35797
194,27762
194,29125
194,37705
195,20813
196,30688
197,10814
197,29901
198,11364
198,17951
198,26938
200,26306
202,25237
203,40456
204,16668
204,32002
205,1388
205,6462
205,21444
205,32410
205,36674
206,17949
206,26136
206,32883
208,26227
209,3871
209,26792
210,22120
210,23333
211,7824
212,4374
212,20876
212,25747
212,33573
213,2439
213,3819
214,33694
214,35805
216,35074
217,21920
217,32919
218,2951
218,4222
218,11557
220,3953
220,21251
220,24274
220,31599
220,35841
221,259
222,21590
222,24800
223,13980
224,1740
224,11614
224,22091
225,5564
225,7552
225,21565
225,21842
225,28613
226,983
226,1258
226,9795
226,28443
227,35323
228,1965
228,3615
228,13291
228,31382
228,36285
228,37090
228,39138
229,19153
229,30904
230,25046
231,24375
232,17030
233,15299
233,15959
233,23401
233,28583
233,29890
233,30675
234,9706
234,20324
235,2075
236,20485
236,20847
236,21772
236,40185
237,12794
237,14885
239,27242
240,12803
240,15446
241,33237
242,39617
242,40308
243,17898
243,21435
243,23272
244,4265
244,6931
244,7465
244,40596
247,22204
247,35511
247,36331
250,16727
251,24683
251,35281
253,17233
253,30151
253,33016
254,452
254,25317
254,28522
254,32291
255,905
256,11024
256,13585
256,30865
257,9158
257,9498
257,13874
257,24735
258,3723
259,15163
259,35070
259,36591
260,17769
261,289
261,4053
261,24362
263,12756
263,28479
265,3550
265,20875
265,39509
266,22643
266,24055
268,3967
268,6293
268,9229
268,19816
268,22523
268,23930
269,17513
269,35042
269,36883
270,20993
270,39501
271,36846
273,16066
274,2560
274,7242
274,13007
274,27396
274,29859
275,1627
275,9245
275,19132
275,20875
275,25351
275,26495
275,27505
276,26346
277,12117
277,13830
277,15553
277,23504
277,27958
277,35869
278,12348
278,24749
280,25389
281,7933
281,31916
281,37908
283,6528
283,28153
286,37344
287,20672
288,7043
288,7632
288,24468
288,37517
288,38083
289,4053
289,21550
290,2376
290,3536
290,4017
290,12580
290,23314
291,13575
291,16747
291,28239
292,23331
292,40120
293,3010
293,17684
293,38750
294,10132
294,35946
295,8505
295,13686
295,22512
295,26370
296,3524
296,27204
297,9984
297,34475
297,38743
298,37013
298,37726
300,2710
300,23909
300,26376
300,29112
300,30442
300,31692
300,34145
301,7327
301,27750
301,31109
301,31699
302,5604
302,34557
302,35346
302,39254
303,14908
304,3444
304,11363
304,14627
304,31407
305,27584
305,29126
306,10076
306,15922
306,30160
307,22029
307,29777
309,3596
309,19579
310,28202
310,32725
311,5514
311,27502
312,14795
312,30100
312,31246
312,36609
313,10599
313,26404
313,34618
313,37931
314,9360
314,14741
314,16028
315,20543
316,25224
317,8847
317,15219
317,16833
317,40110
318,20962
318,33901
319,21087
319,22351
320,7008
321,6519
321,8971
321,14761
321,18371
321,26225
322,20280
323,7556
323,13122
323,37873
324,331
324,11353
324,12184
324,12333
324,22504
324,30133
324,30247
324,36879
325,18852
326,23964
327,603
327,26267
327,32739
327,33875
328,24817
329,11065
331,1506
331,20109
332,3776
332,8098
332,11895
332,14786
332,19954
333,34187
334,18172
334,20833
334,23793
335,32467
338,12738
338,16358
338,26896
339,4284
339,8838
340,35400
340,40610
341,33224
342,17780
342,35100
342,35353
343,26589
344,5225
344,6764
344,12173
344,39738
345,21207
345,31810
346,1175
346,24572
347,11782
348,11907
349,16306
349,32455
351,3205
353,25042
355,662
355,7646
355,16469
356,13019
356,23439
356,32413
357,33647
357,36184
358,8241
358,16703
358,29416
358,29858
358,35288
361,11106
361,39994
365,11426
365,17072
365,33139
365,35525
366,14609
366,20963
366,28801
366,33882
366,37870
366,38846
367,27060
368,14441
368,15983
369,710
369,6038
369,35571
370,3988
370,31860
370,31914
371,13471
371,27490
371,33311
371,38751
372,645
372,6830
372,25618
373,2968
373,7123
373,10433
373,14144
373,17413
373,27587
373,36655
374,31783
374,35540
375,6006
375,8534
376,1180
376,10128
376,22097
376,25083
376,28659
377,9060
380,18683
381,3349
381,16789
381,32870
382,11751
382,25680
382,35935
385,36477
386,10936
386,25023
386,33997
387,29300
389,642
389,14681
389,15532
389,16849
389,33722
390,25078
390,38698
391,10612
391,22714
391,39989
392,5010
392,23413
392,34603
392,36801
395,22897
396,4790
396,26217
396,37187
397,20621
398,20383
398,27191
399,30391
401,15985
401,17850
401,22142
402,15556
402,19743
402,35629
403,2457
403,20827
404,18647
404,27243
406,5000
406,14589
407,1517
407,20831
407,33749
411,11316
411,22894
411,36234
414,6096
414,12763
414,12935
415,13922
415,17404
415,23961
415,28315
415,30685
415,37305
416,5680
416,9268
416,23716
418,12193
418,18634
418,21676
419,26999
419,39542
420,25999
420,30054
421,10589
421,13697
421,27651
423,3127
423,25434
423,38557
424,7077
424,40582
425,17101
425,17921
426,8598
427,1822
427,34307
428,15384
428,20495
428,23736
428,27134
429,2152
429,13946
430,10341
430,13195
430,15000
430,17104
431,13125
431,38345
432,17184
433,10822
433,33835
433,39056
434,19626
435,23843
436,13655
436,25478
436,33734
437,36345
437,40055
438,30280
440,35846
443,3656
443,8598
443,17405
443,21483
443,38807
443,39462
444,27428
446,37810
446,39523
447,36448
448,11791
448,27522
448,27875
449,9204
449,24808
449,25072
449,35423
450,8409
451,6175
451,9491
451,14816
451,17448
451,18663
452,5145
452,8166
452,15113
452,20384
452,24461
452,28522
453,30191
453,32933
456,4829
456,25907
458,18094
458,28926
460,508
460,15028
460,40235
461,24406
461,31633
461,33137
462,17181
463,5172
463,26152
464,15076
468,17711
468,29863
468,31694
469,39854
471,35008
472,5032
472,7718
472,9588
472,29889
473,32144
473,37459
474,3829
474,36709
477,31002
478,546
478,10518
478,15352
478,23530
478,24148
478,24950
478,36838
478,38390
479,27017
481,15563
481,38391
482,20510
482,34898
484,10631
485,3142
485,9901
485,10249
486,3600
486,5825
486,15239
486,25272
486,36487
487,816
487,28369
487,33013
488,15574
488,22164
491,30027
494,4055
494,30432
495,14191
497,16124
497,17732
497,28793
498,20172
499,24494
499,39968
500,20170
500,30360
501,17231
502,2660
502,32265
503,6435
503,38996
505,21950
505,22734
505,24336
506,20623
506,33529
507,24715
507,37575
508,15028
508,40235
509,9913
509,30033
510,19794
510,33903
512,24032
512,24852
512,26987
512,27960
512,34312
512,39089
514,22867
514,26129
514,39894
515,1130
515,22945
517,21140
517,23912
517,34755
518,12502
518,18186
518,26412
518,27227
519,11840
519,17526
520,4831
520,17435
523,12322
523,24845
523,34106
524,16773
525,4596
525,34006
526,3139
526,30637
528,4375
528,39796
530,2263
530,5726
530,6105
530,16369
531,6570
531,28045
533,6203
533,16346
533,21374
533,33844
534,3216
534,7803
535,1590
535,5357
535,9415
535,12718
535,13969
535,16803
535,31017
536,14614
536,21456
537,12710
537,14611
537,24371
538,22420
538,33323
538,38405
540,2057
540,13936
541,4346
541,12499
541,16366
541,38613
542,21103
543,13396
543,26490
545,38588
546,15352
546,24950
547,549
547,39070
548,992
548,2377
548,15339
548,37445
549,16079
549,39005
549,39764
550,36350
551,13841
551,19012
551,20410
552,20039
552,35489
553,22384
553,25670
553,27691
554,4628
554,39297
557,29346
558,6399
558,24216
558,28435
558,32540
558,35604
558,39259
559,15962
560,27227
560,35775
561,11215
561,20999
561,27452
561,29480
562,7946
562,28230
562,32725
562,37096
563,21063
563,21522
564,9748
564,37318
565,33799
567,32569
568,8050
570,39630
572,32136
573,9613
573,11912
573,25596
574,21622
574,24253
574,33272
575,26928
576,26809
577,5636
577,26095
577,39077
578,11539
578,23630
579,12237
579,14904
580,7750
580,12662
580,15621
580,20276
580,29678
580,37510
581,7091
581,22958
581,27783
581,34312
582,32551
584,11074
584,16441
584,16952
585,26861
585,39812
586,1737
586,38889
587,6159
587,27365
587,28171
588,16795
589,20953
589,31041
590,28514
591,15687
592,2818
592,18210
592,20516
592,35845
593,17954
593,23348
593,24634
594,3101
594,40336
595,3104
595,12281
596,12323
596,26786
596,39799
598,5120
598,24619
598,38824
599,14108
599,33859
601,26009
602,2465
603,26267
603,32739
603,33875
604,12526
604,21927
606,32803
606,33880
607,630
608,896
608,3862
608,7146
608,13052
608,17916
610,17322
610,37118
611,23927
612,4331
612,27313
612,28933
612,29756
615,11125
615,13382
615,21769
615,25294
616,4224
616,6792
617,7317
617,12619
617,29395
617,40645
618,23578
619,40377
620,634
620,2698
620,34857
620,36060
620,36640
621,39511
622,6940
622,9275
622,25550
622,29734
622,36172
623,32242
624,16992
624,31703
625,14730
626,13123
626,28153
627,12443
627,21209
628,39804
